Patient_ID,Modality_Category,File_Name,File_Path,File_Size_MB,Width,Height,Depth,Spacing_X,Spacing_Y,Spacing_Z,Voxel_Volume_mm3,Data_Type,Orientation,QForm_Code,SForm_Code,Affine_Matrix,Min_Intensity,Max_Intensity,Mean_Intensity,Median_Intensity,Std_Intensity,Variance,Dynamic_Range,Contrast,Entropy,Sharpness,Edge_Strength,Noise_Estimate,SNR,FG_BG_Ratio,FG_Voxel_Count,BG_Voxel_Count
SP2,T1W,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00001.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT1W_TSE_CLEAR_20260303133117_702_i00001.nii.gz,0.184,224,224,3,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.13, 80.28], [-0.01, 0.65, 1.81, -134.42], [-0.02, -0.29, 4.01, -411.42], [0.0, 0.0, 0.0, 1.0]]",0.0,2337.93,756.77,639.77,429.75,184682.27,2337.93,0.5679,7.2137,0.00538,0.247381,0.0,75677191.1621,75677191.1621,150183,345
SP2,T1W,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00004.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT1W_TSE_CLEAR_20260303133117_702_i00004.nii.gz,0.246,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.14, 80.51], [-0.0, 0.7, 0.93, -129.76], [-0.02, -0.15, 4.3, -404.99], [0.0, 0.0, 0.0, 1.0]]",0.0,1976.58,761.79,697.03,411.57,169390.31,1976.58,0.5403,7.4985,0.007088,0.289633,0.0,76178814.6973,76178814.6973,200401,303
SP2,T1W,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00008.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT1W_TSE_CLEAR_20260303133117_702_i00008.nii.gz,0.245,224,224,4,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.15, 80.29], [0.0, 0.71, 0.08, -126.43], [-0.02, -0.01, 4.4, -391.19], [0.0, 0.0, 0.0, 1.0]]",0.0,2055.56,684.76,586.46,395.69,156572.33,2055.56,0.5779,7.3656,0.006874,0.267174,0.0,68475964.3555,68475964.3555,200485,219
SP2,T1W,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00012.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT1W_TSE_CLEAR_20260303133117_702_i00012.nii.gz,0.184,224,224,3,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.19, 80.32], [0.0, 0.71, -0.35, -130.15], [-0.03, 0.06, 4.38, -366.01], [0.0, 0.0, 0.0, 1.0]]",0.0,2284.62,645.21,541.04,418.16,174861.38,2284.62,0.6481,7.1977,0.006131,0.23124,0.0,64520666.5039,64520666.5039,149802,726
SP2,T1W,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00015.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT1W_TSE_CLEAR_20260303133117_702_i00015.nii.gz,0.179,224,224,3,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.19, 78.1], [0.01, 0.71, -0.63, -135.26], [-0.03, 0.1, 4.35, -339.83], [0.0, 0.0, 0.0, 1.0]]",0.0,2097.03,584.72,531.17,369.22,136321.89,2097.03,0.6314,6.9871,0.006922,0.240492,0.0,58472326.6602,58472326.6602,149914,614
SP2,T1W,S82020_eT1W_TSE_CLEAR_20260303133117_702_i00018.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT1W_TSE_CLEAR_20260303133117_702_i00018.nii.gz,0.117,224,224,2,0.714,0.714,4.4,2.245,int16,LAS,1,1,"[[-0.71, 0.0, -0.19, 75.52], [0.01, 0.71, -0.67, -142.75], [-0.03, 0.11, 4.35, -306.49], [0.0, 0.0, 0.0, 1.0]]",0.0,2118.75,568.52,503.52,373.52,139519.64,2118.75,0.657,6.8419,0.007191,0.226632,0.0,56851837.1582,56851837.1582,99958,394
SP2,T2W,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00001.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00001.nii.gz,0.273,288,288,3,0.556,0.556,4.4,1.358,int16,LAS,1,1,"[[-0.56, 0.0, -0.13, 80.36], [-0.01, 0.51, 1.81, -134.49], [-0.02, -0.23, 4.01, -411.39], [0.0, 0.0, 0.0, 1.0]]",0.0,2406.17,888.3,843.54,625.33,391039.91,2406.17,0.704,7.5065,0.007107,0.304544,0.0,88830352.7832,88830352.7832,247517,1315
SP2,T2W,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00004.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00004.nii.gz,0.363,288,288,4,0.556,0.556,4.4,1.358,int16,LAS,1,1,"[[-0.56, 0.0, -0.14, 80.59], [-0.0, 0.54, 0.93, -129.83], [-0.02, -0.12, 4.3, -404.97], [0.0, 0.0, 0.0, 1.0]]",0.0,2807.2,895.42,912.69,612.26,374863.12,2807.2,0.6838,7.2133,0.0073,0.299557,0.0,89541601.5625,89541601.5625,330864,912
SP2,T2W,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00012.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00012.nii.gz,0.272,288,288,3,0.556,0.556,4.4,1.358,int16,LAS,1,1,"[[-0.56, 0.0, -0.19, 80.4], [0.0, 0.55, -0.35, -130.23], [-0.02, 0.04, 4.38, -366.02], [0.0, 0.0, 0.0, 1.0]]",0.0,2719.62,746.67,622.29,590.79,349032.5,2719.62,0.7912,7.3207,0.007268,0.277303,0.0,74667358.3984,74667358.3984,246890,1942
SP2,T2W,S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00008.nii.gz,C:\Users\Adil\Desktop\yugma\training_data_spine\Normal Spine MRI Datasets\SP2\S82020_eT2W_TSE_DRIVE_HR_20260303133117_602_i00008.nii.gz,0.363,288,288,4,0.556,0.556,4.4,1.358,int16,LAS,1,1,"[[-0.56, 0.0, -0.15, 80.37], [0.0, 0.56, 0.08, -126.51], [-0.02, -0.01, 4.4, -391.19], [0.0, 0.0, 0.0, 1.0]]",0.0,2664.3,808.27,719.09,598.7,358436.16,2664.3,0.7407,7.314,0.007466,0.293264,0.0,80827429.1992,80827429.1992,330271,1505
